observation_date,NGDPSAXDCUSQ
2010-01-01,3691152.500000
2010-04-01,3745048.250000
2010-07-01,3785401.750000
2010-10-01,3827368.500000
2011-01-01,3837862.000000
2011-04-01,3889384.750000
2011-07-01,3911920.000000
2011-10-01,3960564.750000
2012-01-01,4017201.250000
2012-04-01,4051778.750000
2012-07-01,4079885.250000
2012-10-01,4105104.750000
2013-01-01,4162047.250000
2013-04-01,4182171.750000
2013-07-01,4238459.500000
2013-10-01,4298005.000000
2014-01-01,4299434.500000
2014-04-01,4379627.000000
2014-07-01,4451057.000000
2014-10-01,4478020.000000
2015-01-01,4515882.500000
2015-04-01,4569946.000000
2015-07-01,4600406.500000
2015-10-01,4608784.500000
2016-01-01,4631483.500000
2016-04-01,4677925.500000
2016-07-01,4723160.000000
2016-10-01,4772345.000000
2017-01-01,4820021.000000
2017-04-01,4859661.000000
2017-07-01,4923149.000000
2017-10-01,5009272.000000
2018-01-01,5082138.500000
2018-04-01,5145228.000000
2018-07-01,5199682.500000
2018-10-01,5229467.000000
2019-01-01,5277900.000000
2019-04-01,5349484.500000
2019-07-01,5429293.000000
2019-10-01,5483304.500000
2020-01-01,5431914.500000
2020-04-01,4983861.000000
2020-07-01,5421138.000000
2020-10-01,5517192.000000
