observation_date,NGDPPOT
2010-01-01,15454.81366984519263
2010-04-01,15585.36826117743658
2010-07-01,15690.98325652161839
2010-10-01,15842.91837626541565
2011-01-01,15987.60143494573276
2011-04-01,16159.51256784105681
2011-07-01,16325.55435170245073
2011-10-01,16415.21639689533549
2012-01-01,16583.32657185851713
2012-04-01,16725.38622914109146
2012-07-01,16892.08957890435704
2012-10-01,17053.08544926562899
2013-01-01,17198.68603763060673
2013-04-01,17314.11095407508765
2013-07-01,17478.00976932003687
2013-10-01,17650.83945267425952
2014-01-01,17799.26201159131233
2014-04-01,17982.72244221419533
2014-07-01,18141.10816128291845
2014-10-01,18244.52741090972631
2015-01-01,18320.30688068555173
2015-04-01,18512.31403832758224
2015-07-01,18648.16366329778248
2015-10-01,18734.14373056916156
2016-01-01,18803.98327894516842
2016-04-01,19018.39753805848159
2016-07-01,19153.68549291567979
2016-10-01,19333.56068543248693
2017-01-01,19520.41617280328501
2017-04-01,19661.21573450558571
2017-07-01,19855.66587417983828
2017-10-01,20074.83317825554332
2018-01-01,20303.31626067754405
2018-04-01,20551.50443685642676
2018-07-01,20747.27391175708181
2018-10-01,20945.29831829350223
2019-01-01,21127.58890054152289
2019-04-01,21344.23130651315296
2019-07-01,21522.84885383843357
2019-10-01,21700.58809179724267
2020-01-01,21912.62357675470776
2020-04-01,21932.50960199098699
2020-07-01,22232.20191159957903
2020-10-01,22495.28682232439314
